timestep,speed_front_right,current_front_right,acceleration_front_right,speed_rear_right,current_rear_right,acceleration_rear_right,speed_rear_left,current_rear_left,acceleration_rear_left,speed_front_left,current_front_left,acceleration_front_left,front_angle,back_angle
226967.0,,,,,,,,,,,,,2.11,-2.29
226969.0,,,,,,,,,,,,,2.11,-2.29
226971.0,,,,,,,,,,,,,2.11,-2.29
226973.0,,,,,,,,,,,,,2.11,-2.29
226975.0,,,,,,,,,,,,,2.11,-2.29
226977.0,,,,,,,,,,,,,2.11,-2.29
226979.0,,,,,,,,,,,,,2.11,-2.29
226981.0,,,,,,,,,,,,,2.11,-2.29
226983.0,,,,,,,,,,,,,2.11,-2.29
226985.0,,,,,,,,,,,,,2.11,-2.29
226987.0,,,,,,,,,,,,,2.11,-2.29
226989.0,,,,,,,,,,,,,2.11,-2.29
226991.0,,,,,,,,,,,,,2.11,-2.29
226993.0,,,,,,,,,,,,,2.11,-2.29
226995.0,,,,,,,,,,,,,2.11,-2.29
226997.0,,,,,,,,,,,,,2.11,-2.29
226999.0,,,,,,,,,,,,,2.11,-2.29
227001.0,,,,,,,,,,,,,2.11,-2.29
227003.0,,,,,,,,,,,,,2.11,-2.29
227005.0,,,,,,,,,,,,,2.11,-2.29
227007.0,,,,,,,,,,,,,2.11,-2.29
227009.0,,,,,,,,,,,,,2.11,-2.29
227011.0,,,,,,,,,,,,,2.11,-2.29
227013.0,,,,,,,,,,,,,2.11,-2.29
227015.0,,,,,,,,,,,,,2.11,-2.29
227016.0,0.0,-53.0,1.0,,,,,,,,,,2.11,-2.29
227017.0,0.0,-30.5,1.0,0.0,6.0,1.0,0.0,-5.0,1.0,,,,2.11,-2.29
227018.0,0.0,-8.0,1.0,0.0,-10.5,1.0,0.0,-2.5,1.0,0.0,-17.0,1.0,2.11,-2.29
227019.0,0.0,-23.5,1.0,0.0,-27.0,1.0,0.0,0.0,1.0,0.0,-18.5,1.0,2.11,-2.29
227020.0,0.0,-39.0,1.0,0.0,-26.0,1.0,0.0,2.5,1.0,0.0,-20.0,1.0,1.97,-1.97
227021.0,0.0,-23.5,1.0,0.0,-25.0,1.0,0.0,5.0,1.0,0.0,-2.0,1.0,2.11,-2.29
227022.0,0.0,-8.0,1.0,0.0,-19.0,1.0,0.0,-19.0,1.0,0.0,16.0,1.0,2.11,-2.29
227023.0,0.0,-15.75,1.0,0.0,-13.0,1.0,0.0,-43.0,1.0,0.0,-111.0,1.0,2.11,-2.29
227024.0,0.0,-23.5,1.0,0.0,-17.5,1.0,0.0,-49.0,1.0,0.0,-238.0,1.0,2.0925000000000002,-2.2275
227025.0,0.0,-31.25,1.0,0.0,-22.0,1.0,0.0,-55.0,1.0,0.0,-111.0,1.0,2.075,-2.165
227026.0,0.0,-39.0,1.0,0.0,-15.5,1.0,0.0,-33.5,1.0,0.0,16.0,1.0,2.0925000000000002,-2.2275
227027.0,0.0,-16.5,1.0,0.0,-9.0,1.0,0.0,-12.0,1.0,0.0,0.5,1.0,2.11,-2.29
227028.0,0.0,6.0,1.0,0.0,-17.0,1.0,0.0,-12.0,1.0,0.0,-15.0,1.0,2.11,-2.29
227029.0,0.0,-16.5,1.0,0.0,-25.0,1.0,0.0,-12.0,1.0,0.0,-16.0,1.0,2.11,-2.29
227030.0,0.0,-39.0,1.0,0.0,-17.0,1.0,0.0,-14.0,1.0,0.0,-17.0,1.0,2.11,-2.29
227031.0,0.0,-44.666666666666664,1.0,0.0,-9.0,1.0,0.0,-16.0,1.0,0.0,-128.5,1.0,2.11,-2.29
227032.0,0.0,-50.333333333333336,1.0,0.0,-17.0,1.0,0.0,-18.0,1.0,0.0,-240.0,1.0,2.11,-2.29
227033.0,0.0,-56.0,1.0,0.0,-25.0,1.0,0.0,-9.0,1.0,0.0,-112.0,1.0,2.11,-2.29
227034.0,0.0,-46.5,1.0,0.0,-17.0,1.0,0.0,0.0,1.0,0.0,16.0,1.0,2.11,-2.29
227035.0,0.0,-37.0,1.0,0.0,-9.0,1.0,0.0,17.5,1.0,0.0,-0.5,1.0,2.11,-2.29
227036.0,0.0,-38.0,1.0,0.0,-9.0,1.0,0.0,35.0,1.0,0.0,-17.0,1.0,2.11,-2.29
227037.0,0.0,-39.0,1.0,0.0,-9.0,1.0,0.0,8.5,1.0,0.0,0.5,1.0,2.11,-2.29
