timestep,speed_front_right,current_front_right,acceleration_front_right,speed_rear_right,current_rear_right,acceleration_rear_right,speed_rear_left,current_rear_left,acceleration_rear_left,speed_front_left,current_front_left,acceleration_front_left,angle_front,angle_rear
4906.0,0.0,-20.0,1.0,0.0,-10.0,1.0,0.0,-4.0,1.0,0.0,40.0,1.0,-0.35,0.26
4907.0,0.0,-48.75,1.0,0.0,40.5,1.0,0.0,-11.0,1.0,-0.5,1.0,1.0,-0.35,0.26
4908.0,0.0,-21.5,1.0,0.0,7.75,1.0,0.0,3.75,1.0,0.0,10.5,1.0,-0.35,0.26
4909.0,0.0,-28.0,1.0,0.0,19.5,1.0,0.0,-16.0,1.0,0.0,-4.75,1.0,-0.35,0.26
4910.0,0.0,-11.5,1.0,-0.25,17.5,1.0,0.0,1.75,1.0,0.0,-16.5,1.0,-0.35,0.26
4911.0,0.0,-45.5,1.0,-1.0,-2.5,1.0,0.0,-26.0,1.0,0.0,-17.5,1.0,-0.35,0.26
4912.0,0.0,-24.25,1.0,0.0,1.5,1.0,0.0,-3.5,1.0,0.0,7.0,1.0,-0.35,0.26
4913.0,0.0,-28.0,1.0,0.0,31.0,1.0,0.0,-15.5,1.0,0.0,-8.0,1.0,-0.35,0.26
4914.0,0.0,-45.5,1.0,0.0,24.5,1.0,0.0,-11.0,1.0,0.0,25.5,1.0,-0.35,0.26
4915.0,0.0,-4.0,1.0,0.0,20.0,1.0,0.0,-13.75,1.0,0.0,25.5,1.0,-0.35,0.26
4916.0,0.0,-45.75,1.0,0.0,40.5,1.0,0.0,-3.5,1.0,0.0,28.75,1.0,-0.35,0.26
4917.0,0.0,-28.5,1.0,0.0,20.75,1.0,0.0,-18.0,1.0,0.0,1.0,1.0,-0.35,0.26
4918.0,0.0,-41.0,1.0,0.0,51.0,1.0,0.0,39.0,1.0,0.0,1.75,1.0,-0.35,0.26
4919.0,0.0,-29.0,1.0,0.0,10.5,1.0,0.0,5.5,1.0,0.0,-19.0,1.0,-0.35,0.26
4920.0,0.0,-12.5,1.0,0.0,10.5,1.0,0.0,5.0,1.0,0.0,6.0,1.0,-0.35,0.26
4921.0,0.0,-29.75,1.0,0.0,24.75,1.0,0.0,16.5,1.0,-1.0,1.0,1.0,-0.35,0.26
4922.0,0.0,-20.0,1.0,0.0,44.0,1.0,0.0,-4.25,1.0,0.0,22.5,1.0,-0.35,0.26
4923.0,0.0,-58.25,1.0,0.0,0.0,1.0,0.0,-7.5,1.0,0.0,28.75,1.0,-0.35,0.26
4924.0,0.0,-12.5,1.0,0.0,-0.5,1.0,0.0,-25.75,1.0,0.0,7.5,1.0,-0.35,0.26
4925.0,0.0,-37.25,1.0,0.0,4.0,1.0,0.0,-7.5,1.0,0.0,16.5,1.0,-0.35,0.26
4926.0,0.0,-44.5,1.0,0.0,10.75,1.0,0.0,-16.0,1.0,0.0,-8.0,1.0,-0.35,0.26
4927.0,0.0,-36.5,1.0,0.0,9.0,1.0,0.0,-3.5,1.0,-1.0,13.25,1.0,-0.35,0.26
4928.0,0.0,-20.0,1.0,0.0,-3.75,1.0,0.0,-12.0,1.0,0.0,-8.0,1.0,-0.35,0.26
4929.0,0.0,-20.5,1.0,0.0,40.5,1.0,0.0,-32.0,1.0,0.0,10.75,1.0,-0.35,0.26
4930.0,0.0,-24.5,1.0,0.0,19.5,1.0,0.0,-7.0,1.0,0.0,1.0,1.0,-0.35,0.26
4931.0,0.0,-36.5,1.0,0.0,35.25,1.0,0.0,-24.0,1.0,0.0,7.5,1.0,-0.35,0.26
4932.0,0.0,-20.75,1.0,0.0,-7.0,1.0,0.0,-4.0,1.0,-0.5,-8.75,1.0,-0.35,0.26
4933.0,0.0,-53.0,1.0,0.0,39.5,1.0,0.0,-8.5,1.0,0.0,1.0,1.0,-0.35,0.26
4934.0,0.0,-36.5,1.0,0.0,27.0,1.0,0.0,-3.5,1.0,-0.5,5.75,1.0,-0.35,0.26
4935.0,0.0,-29.0,1.0,0.0,34.75,1.0,0.0,-38.0,1.0,0.0,-8.0,1.0,-0.35,0.26
4936.0,0.0,-11.5,1.0,0.0,20.5,1.0,0.0,-29.0,1.0,0.0,-17.0,1.0,-0.35,0.26
4937.0,0.0,-20.75,1.0,0.0,32.5,1.0,0.0,-24.0,1.0,0.0,1.0,1.0,-0.35,0.26
4938.0,0.0,-36.5,1.0,0.0,40.5,1.0,0.0,-13.75,1.0,0.0,7.0,1.0,-0.35,0.26
4939.0,0.0,-28.5,1.0,0.0,40.5,1.0,0.0,39.0,1.0,-0.25,-4.5,1.0,-0.35,0.26
4940.0,0.0,-36.5,1.0,0.0,19.25,1.0,0.0,-4.0,1.0,0.0,-1.5,1.0,-0.35,0.26
4941.0,0.0,-33.25,1.0,0.0,14.0,1.0,0.0,11.5,1.0,0.0,-7.75,1.0,-0.35,0.26
4942.0,0.0,-20.0,1.0,0.0,22.5,1.0,0.0,-34.0,1.0,0.0,17.0,1.0,-0.35,0.26
4943.0,0.0,-3.0,1.0,0.0,24.5,1.0,0.0,33.5,1.0,0.0,3.0,1.0,-0.35,0.26
4944.0,0.0,-41.5,1.0,0.0,27.75,1.0,0.0,-7.5,1.0,0.0,5.0,1.0,-0.35,0.26
4945.0,0.0,-30.0,1.0,0.0,14.0,1.0,0.0,-21.5,1.0,0.0,26.5,1.0,-0.35,0.26
4946.0,0.0,-19.75,1.0,0.0,10.5,1.0,0.0,20.5,1.0,0.0,1.0,1.0,-0.35,0.26
4947.0,0.0,-12.5,1.0,0.0,12.5,1.0,0.0,15.75,1.0,0.0,-8.0,1.0,-0.35,0.26
4948.0,0.0,-28.5,1.0,0.0,40.5,1.0,0.0,-16.5,1.0,-0.25,11.5,1.0,-0.35,0.26
4949.0,0.0,-28.0,1.0,0.0,19.0,1.0,0.0,1.5,1.0,0.0,-8.0,1.0,-0.35,0.26
4950.0,0.0,-37.5,1.0,0.0,40.5,1.0,0.0,-7.5,1.0,0.0,1.0,1.0,-0.35,0.26
4951.0,0.0,-24.0,1.0,0.0,33.0,1.0,0.0,4.5,1.0,0.0,7.5,1.0,-0.35,0.26
4952.0,0.0,-45.5,1.0,0.0,15.5,1.0,0.0,9.25,1.0,0.0,25.75,1.0,-0.35,0.26
4953.0,0.0,-33.0,1.0,0.0,-43.75,1.0,0.0,9.0,1.0,0.0,25.5,1.0,-0.35,0.26
4954.0,0.0,-11.5,1.0,0.0,44.5,1.0,0.0,12.5,1.0,0.0,19.5,1.0,-0.35,0.26
4955.0,0.0,-11.5,1.0,0.0,23.5,1.0,0.0,11.5,1.0,0.0,22.5,1.0,-0.35,0.26
4956.0,0.0,-29.0,1.0,0.0,30.0,1.0,0.0,-5.75,1.0,0.0,26.0,1.0,-0.35,0.26
4957.0,0.0,-33.25,1.0,0.0,20.5,1.0,0.0,20.0,1.0,0.0,5.5,1.0,-0.35,0.26
4958.0,0.0,-11.5,1.0,0.0,25.0,1.0,0.0,-3.0,1.0,-0.5,-1.5,1.0,-0.35,0.26
4959.0,0.0,-11.5,1.0,0.0,14.0,1.0,0.0,-8.0,1.0,0.0,16.0,1.0,-0.35,0.26
4960.0,0.0,-16.0,1.0,0.0,27.0,1.0,0.0,-7.0,1.0,0.0,19.5,1.0,-0.35,0.26
4961.0,0.0,-62.5,1.0,0.0,0.0,1.0,0.0,0.25,1.0,0.0,21.0,1.0,-0.35,0.26
4962.0,0.0,-24.25,1.0,0.0,-2.0,1.0,0.0,-25.5,1.0,0.0,17.0,1.0,-0.35,0.26
4963.0,0.0,-46.0,1.0,0.0,31.0,1.0,0.0,-11.5,1.0,0.0,10.5,1.0,-0.35,0.26
4964.0,0.0,-25.5,1.0,0.0,2.5,1.0,0.0,-12.0,1.0,-0.25,4.0,1.0,-0.35,0.26
4965.0,0.0,-4.0,1.0,0.0,10.5,1.0,0.0,14.0,1.0,0.0,7.5,1.0,-0.35,0.26
4966.0,0.0,-28.0,1.0,0.0,20.5,1.0,0.0,-3.5,1.0,0.0,14.0,1.0,-0.35,0.26
4967.0,0.0,-32.75,1.0,0.0,25.25,1.0,0.0,-20.0,1.0,-1.0,25.5,1.0,-0.35,0.26
4968.0,0.0,-30.5,1.0,0.0,29.0,1.0,0.0,-6.5,1.0,0.0,18.25,1.0,-0.35,0.26
4969.0,0.0,-50.0,1.0,0.0,31.0,1.0,0.0,-16.0,1.0,0.0,19.0,1.0,-0.35,0.26
4970.0,0.0,-21.0,1.0,0.0,36.5,1.0,0.0,-3.5,1.0,0.0,41.5,1.0,-0.35,0.26
4971.0,0.0,-24.5,1.0,0.0,-10.5,1.0,0.0,-7.5,1.0,-1.0,-7.75,1.0,-0.35,0.26
4972.0,0.0,-11.5,1.0,0.0,0.25,1.0,0.0,-3.5,1.0,0.0,1.0,1.0,-0.35,0.26
4973.0,0.0,-45.5,1.0,0.0,40.5,1.0,0.0,15.5,1.0,-0.5,0.0,1.0,-0.35,0.26
4974.0,0.0,-53.0,1.0,0.0,9.0,1.0,0.0,-16.0,1.0,0.0,19.5,1.0,-0.35,0.26
4975.0,0.0,-45.5,1.0,0.0,31.0,1.0,0.0,-8.75,1.0,0.0,10.5,1.0,-0.35,0.26
4976.0,0.0,-33.25,1.0,0.0,20.0,1.0,0.0,-7.5,1.0,0.0,5.75,1.0,-0.35,0.26
4977.0,0.0,-11.5,1.0,0.0,27.75,1.0,0.0,20.0,1.0,0.0,35.5,1.0,-0.35,0.26
4978.0,0.0,-38.5,1.0,0.0,20.0,1.0,0.0,17.75,1.0,-1.0,-8.0,1.0,-0.35,0.26
4979.0,0.0,-53.0,1.0,0.0,34.75,1.0,0.0,1.5,1.0,0.0,17.0,1.0,-0.35,0.26
4980.0,0.0,-21.0,1.0,0.0,-3.0,1.0,0.0,3.25,1.0,-0.5,10.5,1.0,-0.35,0.26
4981.0,0.0,-16.5,1.0,0.0,20.5,1.0,0.0,-29.5,1.0,0.0,4.25,1.0,-0.35,0.26
4982.0,0.0,-36.5,1.0,0.0,35.75,1.0,0.0,-4.25,1.0,0.0,16.5,1.0,-0.35,0.26
4983.0,0.0,-53.0,1.0,0.0,0.0,1.0,0.0,-20.0,1.0,-0.5,4.0,1.0,-0.35,0.26
4984.0,0.0,-32.75,1.0,0.0,30.5,1.0,0.0,-10.5,1.0,-0.5,26.0,1.0,-0.35,0.26
4985.0,0.0,-12.5,1.0,0.0,40.5,1.0,0.0,-13.75,1.0,0.0,15.25,1.0,-0.35,0.26
4986.0,0.0,-28.5,1.0,0.0,27.0,1.0,0.0,-16.0,1.0,0.0,-16.5,1.0,-0.35,0.26
4987.0,0.0,-20.0,1.0,0.0,10.5,1.0,0.0,12.5,1.0,0.0,20.5,1.0,-0.35,0.26
4988.0,0.0,-28.5,1.0,0.0,30.5,1.0,0.0,11.5,1.0,-0.5,-0.25,1.0,-0.35,0.26
4989.0,0.0,-28.0,1.0,0.0,-10.0,1.0,0.0,-10.0,1.0,0.0,-8.0,1.0,-0.35,0.26
4990.0,0.0,-15.75,1.0,0.0,20.5,1.0,0.0,-12.0,1.0,-1.0,11.5,1.0,-0.35,0.26
4991.0,0.0,-20.5,1.0,0.0,41.0,1.0,0.0,0.5,1.0,0.0,25.5,1.0,-0.35,0.26
4992.0,0.0,-36.5,1.0,0.0,31.0,1.0,0.0,10.25,1.0,0.0,-7.75,1.0,-0.35,0.26
4993.0,0.0,-33.5,1.0,0.0,-5.25,1.0,0.0,-11.0,1.0,-0.5,1.0,1.0,-0.35,0.26
